ML2,name,category,nr_hyp,predict_time,Kappa,Sensitivity,Specificity,Balanced.Accuracy
ada,Boosted Classification Trees,Boosting,2,0.9005899429321289,0.5136620728112801,0.8553459119496856,0.6473829201101928,0.7513644160299392
avNNet,Model Averaged Neural Network,Bagging NN,2,0.023936033248901367,0.41553511660181236,0.8569182389937107,0.5399449035812672,0.6984315712874889
gbm,Stochastic Gradient Boosting,Boosting,3,0.01800394058227539,0.5196024738522367,0.8663522012578616,0.6391184573002755,0.7527353292790686
glm,Generalized Linear Model,GLM,0,0.021940946578979492,0.43783426070984816,0.8537735849056604,0.5674931129476584,0.7106333489266594
glmnet,Generalized Linear Model - Lasso,GLM,1,0.015928030014038086,0.4326396495071195,0.8537735849056604,0.5619834710743802,0.7078785279900203
lda,Linear Discr. Analysis,Discr. analysis,0,0.009974002838134766,0.43113531764374863,0.839622641509434,0.5785123966942148,0.7090675191018244
lda2,Linear Discr. Analysis,Discr. analysis,0,0.01495981216430664,0.43113531764374863,0.839622641509434,0.5785123966942148,0.7090675191018244
LogitBoost,Boosted Logistic Regression,Boosting,0,0.13364601135253906,0.3758200562324274,0.7327044025157232,0.6528925619834711,0.6927984822495972
mlp,Multi-Layer Perceptron,NN,0,0.05385398864746094,0,1,0,0.5
mlpKerasDecay,Multil. Perc. Net. with Weight Decay,NN,6,1.8261208534240723,0,0,1,0.5
mlpKerasDropout,Multil. Perc. Network with Dropout,NN,6,1.8011820316314697,0,0,1,0.5
mlpKerasDropoutCost,Multil. Perc. Network with Dropout,NN,7,4.749302864074707,-5.8954414924984e-4,0.015723270440251572,0.9834710743801653,0.49959717241020846
mlpML,Multil. Perc. Network,NN,2,0.03289198875427246,0,1,0,0.5
mlpWeightDecayML,Multil. Perc. Network,NN,3,0.03690290451049805,0,1,0,0.5
qda,Quadratic Discr. Analysis,Discr. analysis,0,0.046875,0.42221189165122536,0.8018867924528302,0.6170798898071626,0.7094833411299963
rf,Random Forest,Bagging,0,0.09670591354370117,0.6124379002813192,0.8930817610062893,0.7052341597796143,0.7991579603929518
ranger,Random Forest,Bagging,2,0.9195401668548584,0.5907579898863049,0.89937106918239,0.6721763085399449,0.7857736888611675
rpart,CART,Tree,0,0.012969970703125,0.3980396620291641,0.8270440251572327,0.559228650137741,0.6931363376474868
svmLinear,SVM,SVM,0,0.19445085525512695,0.4525657071339175,0.8616352201257862,0.5730027548209367,0.7173189874733614
svmRadial,SVM,SVM,1,0.41588592529296875,0.4943615492073775,0.8726415094339622,0.6033057851239669,0.7379736472789646
svmRadialSigma,SVM,SVM,1,0.3041880130767822,0.5205538436696855,0.8773584905660378,0.6253443526170799,0.7513514215915589
xgbDART,Boosted Trees,Boosting,8,0.013959884643554688,0.5732010253428822,0.8694968553459119,0.6942148760330579,0.781855865689485
xgbLinear,Boosted Trees,Boosting,3,0.008949041366577148,0.5917826637140146,0.8726415094339622,0.7107438016528925,0.7916926555434274
xgbTree,Boosted Trees,Boosting,6,0.00997304916381836,0.6000818233407678,0.8773584905660378,0.7134986225895317,0.7954285565777848
bagFDA,Bagged Flexible Discr. Analysis,Discr. analysis,1,1.5049769878387451,0.4643811397503556,0.839622641509434,0.6143250688705234,0.7269738551899787
C5.0,Tree,Tree,2,0.09773588180541992,0.5510383987139932,0.8333333333333334,0.71900826446281,0.7761707988980717
