"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","colour","quality"
"1",6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,0,1
"2",5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,0,1
"3",5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333333,0,0
"4",7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,0,1
"5",6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,0,1
"6",6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,0,1
"7",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,1,0
"8",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0,1
"9",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,1,0
"10",6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,0,0
"11",6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,0,1
"12",5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,0,1
"13",7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,0,1
"14",5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,0,1
"15",8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,0,1
"16",6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,0,1
"17",6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,0,1
"18",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1,1
"19",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,1,0
"20",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0,0
"21",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,0,0
"22",5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,0,1
"23",6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,0,0
"24",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,1,0
